,Common Name,,,Scientific name,,
"common:""",Greater Amberjack             ,"""","scientific:""",Seriola dumerili,"""",delete
"common:""",Little Tunny                  ,"""","scientific:""",Euthynnus alletteratus,"""",delete
"common:""",Banded Rudderfish             ,"""","scientific:""",Seriola zonata,"""",delete
"common:""",Gulf Menhaden                 ,"""","scientific:""",Brevoortia patronus,"""",delete
"common:""",Goosefish                     ,"""","scientific:""",Lophius americanus,"""",delete
"common:""",Banded Rudderfish             ,"""","scientific:""",Seriola zonata,"""",delete
"common:""",Greater Amberjack             ,"""","scientific:""",Seriola dummerili,"""",delete
"common:""",Red Snapper                   ,"""","scientific:""",Lutjanus campechanus,"""",delete
"common:""",Red Snapper                   ,"""","scientific:""",Lutjanus campechanus,"""",delete
"common:""",Atlantic Spadefish            ,"""","scientific:""",Chaetodipterus faber,"""",delete
"common:""",Goosefish                     ,"""","scientific:""",Lophius americanus,"""",delete
"common:""",Skipjack Tuna                 ,"""","scientific:""",Katsuwonus pelamis,"""",delete
"common:""",Ladyfish                     ,"""","scientific:""",Elops saurus,"""",delete
"common:""",Black Drum                    ,"""","scientific:""",Pogonias cromis,"""",delete
"common:""",Great Barracuda               ,"""","scientific:""",Sphyraena barracuda,"""",delete
"common:""",Gulf Kingfish                 ,"""","scientific:""",Menticirrhus littoralis,"""",delete
"common:""",Vermilion Snapper             ,"""","scientific:""",Rhomboplites aurorubens,"""",delete
"common:""",Cunner                        ,"""","scientific:""",Tautogolabrus adspersus,"""",delete
"common:""",Jack Crevalle                 ,"""","scientific:""",Caranx hippos,"""",delete
"common:""",Red Drum,"""","scientific:""",Sciaenops ocellata,"""",delete
"common:""",Black Seabass                 ,"""","scientific:""",Centropristis striatus,"""",delete
"common:""",Gulf Toadfish                 ,"""","scientific:""",Opsanus beta,"""",delete
"common:""",Winter Flounder               ,"""","scientific:""",Pleuronectes americanus,"""",delete
"common:""",Gag Grouper                   ,"""","scientific:""",Mycteroperca microlepis,"""",delete
